#Interaction type,Interactor A ID,Interactor A name,Interactor A taxid,Interactor B ID,Interactor B name,Interactor B taxid,Host organism taxid,Binding affinity type,Binding affinity value in molar,Binding affinity variation in molar,Interaction detection method,Source,EBI Interaction ID
association,uniprotkb:P68400,CSNK2A1,Homo sapiens (taxid:9606),uniprotkb:P14625,HSP90B1,Homo sapiens (taxid:9606),-,kd,0.0004,-,experimental interaction detection (MI:0045),pubmed:11557039,intact:EBI-7971392
physical association,uniprotkb:Q8X849,hypF,Escherichia coli O157:H7 (taxid:83334),uniprotkb:Q8X814,hypE,Escherichia coli O157:H7 (taxid:83334),-,kd,0.00000046,-,surface plasmon resonance (MI:0107),pubmed:18065529,intact:EBI-6470696
physical association,uniprotkb:P69786,ptsG,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P50456,mlc,Escherichia coli (strain K12) (taxid:83333),Escherichia coli (strain K12) (taxid:83333),kd,0.00000015,-,surface plasmon resonance (MI:0107),pubmed:18067539,intact:EBI-6401522
direct interaction,uniprotkb:P06731,CEACAM5,Homo sapiens (taxid:9606),uniprotkb:P06731,CEACAM5,Homo sapiens (taxid:9606),-,kd,0.000013,-,cosedimentation through density gradient (MI:0029),pubmed:18086185,intact:EBI-6471104
direct interaction,uniprotkb:Q9X4C9,dnaB,Geobacillus stearothermophilus (taxid:1422),uniprotkb:Q9X4D0,dnaG,Geobacillus stearothermophilus (taxid:1422),-,kd,0.00000000704,-,isothermal titration calorimetry (MI:0065),pubmed:18366438,intact:EBI-6403014
direct interaction,uniprotkb:Q52884,cheY2,Rhizobium meliloti (taxid:382),uniprotkb:Q52880,cheA,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (taxid:266834),-,kd,0.00000032,-,surface plasmon resonance (MI:0107),pubmed:18573176,intact:EBI-6480562
direct interaction,uniprotkb:P0AFJ5,phoB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P0AFJ5,phoB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000044,-,fluorescent resonance energy transfer (MI:0055),pubmed:18631241,intact:EBI-6403701
direct interaction,uniprotkb:G3XCV7,pbpA,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) (taxid:208964),uniprotkb:Q9HX24,sltB1,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) (taxid:208964),-,kd,0.000000133,-,surface plasmon resonance (MI:0107),pubmed:18708507,intact:EBI-6404079
direct interaction,uniprotkb:Q2TV77,faf,Peptostreptococcus magnus (taxid:1260),uniprotkb:P09486,SPARC,Homo sapiens (taxid:9606),-,kd,0.0000000013,-,surface plasmon resonance (MI:0107),pubmed:18808384,intact:EBI-6404524
direct interaction,uniprotkb:Q2TV77,faf,Peptostreptococcus magnus (taxid:1260),uniprotkb:P09486,SPARC,Homo sapiens (taxid:9606),-,kd,0.0000000013,-,far western blotting (MI:0047),pubmed:18808384,intact:EBI-6405596
direct interaction,uniprotkb:P03024,galR,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P25748,galS,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000004,-,fluorescence polarization spectroscopy (MI:0053),pubmed:19007420,intact:EBI-6506283
direct interaction,uniprotkb:P18775,dmsA,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P69853,dmsD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000064,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6478007
direct interaction,uniprotkb:P19319,narZ,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P19317,narW,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000064,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406410
direct interaction,uniprotkb:P33225,torA,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P36662,torD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000376,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406402
direct interaction,uniprotkb:P77374,ynfE,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P69853,dmsD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000068,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406452
direct interaction,uniprotkb:P33937,napA,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P0A9I5,napD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000064,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406444
direct interaction,uniprotkb:P09152,narG,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P19317,narW,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000059,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406418
direct interaction,uniprotkb:P19319,narZ,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P0AF26,narJ,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000033,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406426
direct interaction,uniprotkb:P0AF26,narJ,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P09152,narG,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000041,-,surface plasmon resonance (MI:0107),pubmed:19151138,intact:EBI-6406434
direct interaction,uniprotkb:Q183M8,slpA,Clostridium difficile (strain 630) (taxid:272563),uniprotkb:Q183M8,slpA,Clostridium difficile (strain 630) (taxid:272563),-,kd,0.0000000097,-,enzyme linked immunosorbent assay (MI:0411),pubmed:19183279,intact:EBI-6478370
direct interaction,uniprotkb:Q183M8,slpA,Clostridium difficile (strain 630) (taxid:272563),uniprotkb:Q183M8,slpA,Clostridium difficile (strain 630) (taxid:272563),-,kd,0.000000004,-,enzyme linked immunosorbent assay (MI:0411),pubmed:19183279,intact:EBI-6478384
direct interaction,uniprotkb:P38107,mucA,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) (taxid:208964),uniprotkb:P38108,mucB,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) (taxid:208964),-,kd,0.00000012,-,fluorescence polarization spectroscopy (MI:0053),pubmed:19298369,intact:EBI-6510461
physical association,uniprotkb:Q7BSW5,espP,Escherichia coli O157:H7 (taxid:83334),uniprotkb:P0ABZ8,surA,Escherichia coli O157:H7 (taxid:83334),-,kd,0.00000000325,-,surface plasmon resonance (MI:0107),pubmed:19734313,intact:EBI-6408837
direct interaction,uniprotkb:P49785,spoIIIAH,Bacillus subtilis (taxid:224308),uniprotkb:P71044,spoIIQ,Bacillus subtilis (taxid:224308),-,kd,0.0000002,-,isothermal titration calorimetry (MI:0065),pubmed:21097616,intact:EBI-6453129
direct interaction,uniprotkb:P17798,virB8,Agrobacterium tumefaciens (strain C58 / ATCC 33970) (taxid:176299),uniprotkb:P17798,virB8,Agrobacterium tumefaciens (strain C58 / ATCC 33970) (taxid:176299),Agrobacterium tumefaciens (strain C58 / ATCC 33970) (taxid:176299),kd,0.00068,-,cosedimentation in solution (MI:0028),pubmed:21398549,intact:EBI-6414091
direct interaction,uniprotkb:Q52880,cheA,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (taxid:266834),uniprotkb:Q52884,cheY2,Rhizobium meliloti (taxid:382),-,kd,0.00000032,-,surface plasmon resonance (MI:0107),pubmed:22194454,intact:EBI-6417919
direct interaction,uniprotkb:Q52880,cheA,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (taxid:266834),uniprotkb:Q52879,cheY1,Rhizobium meliloti (taxid:382),-,kd,0.00017,-,surface plasmon resonance (MI:0107),pubmed:22194454,intact:EBI-6417925
direct interaction,uniprotkb:Q8PND9,pilZ,Xanthomonas axonopodis pv. citri (strain 306) (taxid:190486),uniprotkb:Q8PJX9,q8pjx9_xanac,Xanthomonas axonopodis pv. citri (strain 306) (taxid:190486),-,kd,0.00000011,-,surface plasmon resonance (MI:0107),pubmed:22942245,intact:EBI-6420934
physical association,uniprotkb:Q8PND9,pilZ,Xanthomonas axonopodis pv. citri (strain 306) (taxid:190486),uniprotkb:Q8PJX9,q8pjx9_xanac,Xanthomonas axonopodis pv. citri (strain 306) (taxid:190486),-,kd,0.00000053,-,isothermal titration calorimetry (MI:0065),pubmed:22942245,intact:EBI-6419915
direct interaction,intact:EBI-6420634,feoB,klebsiella pneumoniae subsp. pneumoniae ntuh-k2044 (taxid:484021),intact:EBI-6420236,feoC,klebsiella pneumoniae kctc 2242 (taxid:1049565),Escherichia coli (taxid:562),kd,0.00005,-,isothermal titration calorimetry (MI:0065),pubmed:23024345,intact:EBI-6420251
direct interaction,uniprotkb:P0ACB0,dnaB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000008,-,surface plasmon resonance (MI:0107),pubmed:11078744,intact:EBI-6449974
direct interaction,uniprotkb:P0ACB0,dnaB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000004,-,surface plasmon resonance (MI:0107),pubmed:11078744,intact:EBI-6449951
physical association,intact:EBI-3953546,dt-dna,-,uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000053,-,molecular sieving (MI:0071),pubmed:9545254,intact:EBI-6453582
physical association,intact:EBI-3953546,dt-dna,-,uniprotkb:P0AGE0,ssb,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000053,-,molecular sieving (MI:0071),pubmed:9545254,intact:EBI-6453582
physical association,intact:EBI-3953546,dt-dna,-,uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000033,-,surface plasmon resonance (MI:0107),pubmed:9545254,intact:EBI-6455078
physical association,intact:EBI-3953546,dt-dna,-,uniprotkb:P0AGE0,ssb,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000033,-,surface plasmon resonance (MI:0107),pubmed:9545254,intact:EBI-6455078
physical association,uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P0AGE0,ssb,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000053,-,surface plasmon resonance (MI:0107),pubmed:9545254,intact:EBI-6453612
direct interaction,uniprotkb:P10443,dnaE,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000000037,-,surface plasmon resonance (MI:0107),pubmed:8702819,intact:EBI-6468532
direct interaction,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P10443,dnaE,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000004,-,surface plasmon resonance (MI:0107),pubmed:11078743,intact:EBI-6455237
direct interaction,uniprotkb:P10443,dnaE,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000000001,-,surface plasmon resonance (MI:0107),pubmed:11078743,intact:EBI-6464068
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000000018,-,surface plasmon resonance (MI:0107),pubmed:7494000,intact:EBI-6464444
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000000018,-,surface plasmon resonance (MI:0107),pubmed:7494000,intact:EBI-6464444
physical association,uniprotkb:P06710-2,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000000025,-,surface plasmon resonance (MI:0107),pubmed:7494000,intact:EBI-6464458
physical association,uniprotkb:P06710-2,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000000025,-,surface plasmon resonance (MI:0107),pubmed:7494000,intact:EBI-6464458
direct interaction,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000017,-,surface plasmon resonance (MI:0107),pubmed:11809766,intact:EBI-6464890
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710-1,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000005,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465546
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000005,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465546
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000011,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465518
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000011,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465518
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000011,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465518
physical association,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710-1,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000011,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6465518
physical association,uniprotkb:P06710-1,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000005,-,surface plasmon resonance (MI:0107),pubmed:11606586,intact:EBI-6470473
direct interaction,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000086,-,surface plasmon resonance (MI:0107),pubmed:11518714,intact:EBI-6466112
physical association,uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000057,-,cosedimentation in solution (MI:0028),pubmed:11518714,intact:EBI-6466098
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000009,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466183
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000009,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466183
direct interaction,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000047,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466262
direct interaction,uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000098,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466281
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000295,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466412
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000295,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466412
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000295,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466412
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000295,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466412
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28905,holC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000115,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466195
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28632,holD,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000115,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466195
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000114,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466295
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.000000114,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466295
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28631,holB,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000013,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466309
physical association,uniprotkb:P06710,dnaX,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P28630,holA,Escherichia coli (strain K12) (taxid:83333),-,kd,0.00000013,-,surface plasmon resonance (MI:0107),pubmed:11078742,intact:EBI-6466309
direct interaction,uniprotkb:P22336,RFA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P35187,SGS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.00007,-,isothermal titration calorimetry (MI:0065),pubmed:22820947,intact:EBI-7984774
direct interaction,uniprotkb:P35187,SGS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P22216,RAD53,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.000021,-,isothermal titration calorimetry (MI:0065),pubmed:22820947,intact:EBI-7984816
direct interaction,uniprotkb:P22336,RFA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),uniprotkb:P35187,SGS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (taxid:559292),-,kd,0.000034,-,isothermal titration calorimetry (MI:0065),pubmed:22820947,intact:EBI-7984795
direct interaction,uniprotkb:Q16082,HSPB2,Homo sapiens (taxid:9606),uniprotkb:P02511,CRYAB,Homo sapiens (taxid:9606),-,kd,0.000087,-,nuclear magnetic resonance (MI:0077),pubmed:23188086,intact:EBI-8175235
direct interaction,uniprotkb:P61619,SEC61A1,Homo sapiens (taxid:9606),uniprotkb:P11021,HSPA5,Homo sapiens (taxid:9606),-,kd,0.0005,-,surface plasmon resonance (MI:0107),pubmed:22796945,intact:EBI-7974160
direct interaction,uniprotkb:Q5JWF2,GNAS,Homo sapiens (taxid:9606),uniprotkb:P49407,ARRB1,Homo sapiens (taxid:9606),-,kd,0.0000009,-,biophysical (MI:0013),pubmed:23353685,intact:EBI-8309215
direct interaction,uniprotkb:Q5JWF2,GNAS,Homo sapiens (taxid:9606),uniprotkb:P49407,ARRB1,Homo sapiens (taxid:9606),-,kd,0.00000316,-,biophysical (MI:0013),pubmed:23353685,intact:EBI-8309252
direct interaction,uniprotkb:P46940,IQGAP1,Homo sapiens (taxid:9606),uniprotkb:O08808,Diaph1,Mus musculus (taxid:10090),-,kd,0.000000063,-,pull down (MI:0096),pubmed:17620407,intact:EBI-6479046
physical association,uniprotkb:O08808,Diaph1,Mus musculus (taxid:10090),uniprotkb:P30622-2,CLIP1,Homo sapiens (taxid:9606),-,kd,0.0000008,-,pull down (MI:0096),pubmed:19114595,intact:EBI-6480001
direct interaction,uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),uniprotkb:Q20010,sas-5,Caenorhabditis elegans (taxid:6239),-,kd,0.0000018,-,isothermal titration calorimetry (MI:0065),pubmed:23064147,intact:EBI-8082994
direct interaction,uniprotkb:Q20010,sas-5,Caenorhabditis elegans (taxid:6239),uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),-,kd,0.0000027,-,isothermal titration calorimetry (MI:0065),pubmed:23064147,intact:EBI-8083114
direct interaction,uniprotkb:Q20010,sas-5,Caenorhabditis elegans (taxid:6239),uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),-,kd,0.0000018,-,isothermal titration calorimetry (MI:0065),pubmed:23064147,intact:EBI-8083199
direct interaction,uniprotkb:Q20010,sas-5,Caenorhabditis elegans (taxid:6239),uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),-,kd,0.00000235,-,isothermal titration calorimetry (MI:0065),pubmed:23064147,intact:EBI-8083229
direct interaction,uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),uniprotkb:O62479,sas-6,Caenorhabditis elegans (taxid:6239),-,kd,0.0000562,-,isothermal titration calorimetry (MI:0065),pubmed:23064147,intact:EBI-8083251
direct interaction,uniprotkb:Q13432,UNC119,Homo sapiens (taxid:9606),uniprotkb:Q7Z494,NPHP3,Homo sapiens (taxid:9606),-,kd,0.000000014,-,fluorescence polarization spectroscopy (MI:0053),pubmed:22960633,intact:EBI-8045395
direct interaction,uniprotkb:Q13432,UNC119,Homo sapiens (taxid:9606),uniprotkb:P11488,GNAT1,Homo sapiens (taxid:9606),-,kd,0.000000007,-,fluorescence polarization spectroscopy (MI:0053),pubmed:22960633,intact:EBI-8045412
direct interaction,uniprotkb:A6NIH7,UNC119B,Homo sapiens (taxid:9606),uniprotkb:Q7Z494,NPHP3,Homo sapiens (taxid:9606),-,kd,0.000000008,-,fluorescence polarization spectroscopy (MI:0053),pubmed:22960633,intact:EBI-8045451
direct interaction,uniprotkb:A6NIH7,UNC119B,Homo sapiens (taxid:9606),uniprotkb:P11488,GNAT1,Homo sapiens (taxid:9606),-,kd,0.000000027,-,fluorescence polarization spectroscopy (MI:0053),pubmed:22960633,intact:EBI-8045467
direct interaction,uniprotkb:Q13432,UNC119,Homo sapiens (taxid:9606),uniprotkb:Q9WUL7,Arl3,Mus musculus (taxid:10090),-,kd,0.0000003,-,fluorescence polarization spectroscopy (MI:0053),pubmed:22960633,intact:EBI-8045527
direct interaction,uniprotkb:P0ACB0,dnaB,Escherichia coli (strain K12) (taxid:83333),uniprotkb:P0ABS5,dnaG,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000012,-,fluorescence polarization spectroscopy (MI:0053),pubmed:14557266,intact:EBI-6502686
physical association,uniprotkb:Q8IW19,APLF,Homo sapiens (taxid:9606),uniprotkb:P13010,XRCC5,Homo sapiens (taxid:9606),-,kd,0.00000058,-,fluorescence polarization spectroscopy (MI:0053),pubmed:23178593,intact:EBI-8167341
physical association,uniprotkb:Q8IW19,APLF,Homo sapiens (taxid:9606),uniprotkb:P12956,XRCC6,Homo sapiens (taxid:9606),-,kd,0.00000058,-,fluorescence polarization spectroscopy (MI:0053),pubmed:23178593,intact:EBI-8167341
direct interaction,uniprotkb:P98160,HSPG2,Homo sapiens (taxid:9606),uniprotkb:P35968,KDR,Homo sapiens (taxid:9606),-,kd,0.0000000066,-,enzyme linked immunosorbent assay (MI:0411),pubmed:23374253,intact:EBI-8310727
physical association,intact:EBI-6505013,ssdna,-,uniprotkb:P0AEF0,dnaC,Escherichia coli (strain K12) (taxid:83333),-,kd,0.0000033,-,surface plasmon resonance (MI:0107),pubmed:20129058,intact:EBI-6504997
physical association,chebi:15422,atp,-,intact:EBI-6505013,ssdna,-,-,kd,0.0000033,-,surface plasmon resonance (MI:0107),pubmed:20129058,intact:EBI-6504997
direct interaction,uniprotkb:P0AEF0,dnaC,Escherichia coli (strain K12) (taxid:83333),intact:EBI-6505013,ssdna,-,-,kd,0.0000079,-,surface plasmon resonance (MI:0107),pubmed:20129058,intact:EBI-6505041
direct interaction,uniprotkb:P05230,FGF1,Homo sapiens (taxid:9606),intact:EBI-2566390,intg_av_b3_human,Homo sapiens (taxid:9606),-,kd,0.0000011,-,surface plasmon resonance (MI:0107),pubmed:18441324,intact:EBI-6509751
direct interaction,uniprotkb:P11362,FGFR1,Homo sapiens (taxid:9606),uniprotkb:P05230,FGF1,Homo sapiens (taxid:9606),-,kd,0.00000000003,-,surface plasmon resonance (MI:0107),pubmed:18441324,intact:EBI-6509819
direct interaction,chebi:28304,heparin,-,uniprotkb:P05230,FGF1,Homo sapiens (taxid:9606),-,kd,0.0000000166,-,surface plasmon resonance (MI:0107),pubmed:18441324,intact:EBI-6509859
direct interaction,uniprotkb:Q18688,daf-21,Caenorhabditis elegans (taxid:6239),uniprotkb:O16259,sti-1,Caenorhabditis elegans (taxid:6239),-,kd,0.000000204,-,surface plasmon resonance (MI:0107),pubmed:19559711,intact:EBI-6917553
direct interaction,uniprotkb:O16259,sti-1,Caenorhabditis elegans (taxid:6239),uniprotkb:P09446,hsp-1,Caenorhabditis elegans (taxid:6239),-,kd,0.0000027,-,surface plasmon resonance (MI:0107),pubmed:19559711,intact:EBI-6918510
direct interaction,uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),uniprotkb:Q9KWN0,ath,Actinomycete sp. (strain K97-0003) (taxid:237531),-,kd,0.0000000133,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453521
direct interaction,uniprotkb:Q9KWN0,ath,Actinomycete sp. (strain K97-0003) (taxid:237531),uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),-,kd,0.0000000095,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453553
direct interaction,uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),uniprotkb:P84801,grfin_grisq,Griffithsia sp. (strain Q66D336) (taxid:373036),-,kd,0.00000000012,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453593
direct interaction,uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),uniprotkb:P11218,UDA1,Urtica dioica (taxid:3501),-,kd,0.000000002,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453643
direct interaction,uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),uniprotkb:P11218,UDA1,Urtica dioica (taxid:3501),-,kd,0.0000000024,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453684
direct interaction,uniprotkb:Q75760,env,Human immunodeficiency virus 1 (taxid:11676),uniprotkb:P84801,grfin_grisq,Griffithsia sp. (strain Q66D336) (taxid:373036),-,kd,0.00000000015,-,surface plasmon resonance (MI:0107),pubmed:23454641,intact:EBI-8453608
direct interaction,uniprotkb:Q9NP84,TNFRSF12A,Homo sapiens (taxid:9606),uniprotkb:O43508,TNFSF12,Homo sapiens (taxid:9606),-,kd,0.000000065,-,surface plasmon resonance (MI:0107),pubmed:23438059,intact:EBI-8445660
direct interaction,uniprotkb:Q6SIX7,tnfrsf12a,Xenopus laevis (African clawed frog) (taxid:8355),uniprotkb:O43508,TNFSF12,Homo sapiens (taxid:9606),-,kd,0.0000013,-,surface plasmon resonance (MI:0107),pubmed:23438059,intact:EBI-8445688
